Jednostka,Nazwa zadania,Akronim,Wydatki rzeczowe,Wydatki na utrzymanie stanowiska pracy,Wydatki na zadania ogółem
Biuro ds. Dzielnic Miasta Krakowa (BD),Koordynacja i obsługa administracyjna,0,,226211.0,226211.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Obsługa dzielnic organizacja,ODO,3050000.0,3053840.0,6103840.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Zadania dzielnic (bieżące),DBR,817857.0,,817857.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Zadania dzielnicowe bieżące wieloletnie,DBW,46000.0,,46000.0
Biuro ds. Dzielnic Miasta Krakowa (BD),nan,,,,0.0
Biuro ds. Ewidencji Mienia (EM),Koordynacja i obsługa administracyjna,0,,,0.0
Biuro ds. Ewidencji Mienia (EM),Ewidencja mienia,EWM,,,0.0
Biuro ds. Ewidencji Mienia (EM),Krajowy Zasób Nieruchomości,KZN,,,0.0
Biuro ds. Ewidencji Mienia (EM),nan,,,,
Biuro ds. Podatku VAT (BV),Koordynacja i obsługa administracyjna,0,,226212.0,226212.0
Biuro ds. Podatku VAT (BV),Centralizacja podatkowa GMK w zakresie podatku VAT,APD,500000.0,1809682.0,2309682.0
Biuro ds. Podatku VAT (BV),nan,,,,0.0
Biuro Miejskiego Konserwatora Zabytków (KZ),Koordynacja i obsługa administracyjna biura,0,,475042.0,475042.0
Biuro Miejskiego Konserwatora Zabytków (KZ),Zadania Miejskiego Konserwatora Zabytków,OZK,300000.0,2013272.0,2313272.0
Biuro Miejskiego Konserwatora Zabytków (KZ),nan,,,,0.0
Biuro Nadzoru Właścicielskiego (NW),Koordynacja i obsługa administracyjna,0,,452421.0,452421.0
Biuro Nadzoru Właścicielskiego (NW),Udział Gminy w spółkach handlowych i fundacjach,UGS,198488.0,1131052.0,1329540.0
Biuro Nadzoru Właścicielskiego (NW),Nadzór nad SPZOZ,NNS,,565526.0,565526.0
