Jednostka,Nazwa zadania,Akronim,Wydatki rzeczowe,Wydatki na utrzymanie stanowiska pracy,Wydatki na zadania ogółem
Biuro ds. Dzielnic Miasta Krakowa (BD),Koordynacja i obsługa administracyjna,0,,247654.0,247654.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Obsługa dzielnic organizacja,ODO,3900000.0,3590975.0,7490975.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Zadania dzielnic (bieżące),DBR,932343.0,,932343.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Zadania dzielnicowe bieżące wieloletnie,DBW,46000.0,,46000.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Wybory do Rad Dzielnic Miasta Krakowa,WRD,,,
Biuro ds. Dzielnic Miasta Krakowa (BD),nan,,,,0.0
Biuro ds. Podatku VAT (BV),Koordynacja i obsługa administracyjna,0,,247654.0,247654.0
Biuro ds. Podatku VAT (BV),Centralizacja podatkowa GMK w zakresie podatku VAT,APD,440000.0,1981227.0,2421227.0
Biuro ds. Podatku VAT (BV),nan,,,,0.0
Biuro Miejskiego Konserwatora Zabytków (KZ),Koordynacja i obsługa administracyjna biura,0,,520072.0,520072.0
Biuro Miejskiego Konserwatora Zabytków (KZ),Zadania Miejskiego Konserwatora Zabytków,OZK,140000.0,2451769.0,2591769.0
Biuro Miejskiego Konserwatora Zabytków (KZ),nan,,,,0.0
Biuro Nadzoru Właścicielskiego (NW),Koordynacja i obsługa administracyjna,0,,340523.0,340523.0
Biuro Nadzoru Właścicielskiego (NW),Udział Gminy w spółkach handlowych i fundacjach,UGS,210000.0,1176354.0,1386354.0
Biuro Nadzoru Właścicielskiego (NW),Nadzór nad SPZOZ,NNS,220000.0,619134.0,839134.0
Biuro Nadzoru Właścicielskiego (NW),Organizacja III Igrzysk Europejskich 2023,OIE,77000000.0,61913.0,77061913.0
Biuro Nadzoru Właścicielskiego (NW),Zakup i obejmowanie akcji oraz wnoszenie wkładów do spółek prawa handlowego ,MAS,,,0.0
Biuro Nadzoru Właścicielskiego (NW),Zadania dzielnic (inwestycyjne),"DIR, DIW",,,0.0
Biuro Nadzoru Właścicielskiego (NW),Zadania inwestycyjne,ZIN,,,0.0
Biuro Nadzoru Właścicielskiego (NW),nan,,,,0.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Koordynacja i obsługa administracyjna,0,,371480.0,371480.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Przejmowanie mienia i nieruchomości,PMN,31000.0,866787.0,897787.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Rewindykacja nieruchomości,RED,79500.0,619134.0,698634.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Przejmowanie spadków na rzecz Gminy Kraków,SPA,687900.0,742960.0,1430860.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Zadania inwestycyjne,ZIN,,,
Biuro Przejmowania Mienia i Rewindykacji (MR),nan,,,,0.0
Centrum Obsługi Informatycznej  (IT),Koordynacja i obsługa administracyjna,0,,1362094.0,1362094.0
Centrum Obsługi Informatycznej  (IT),Obsługa zintegrowanego systemu teleinformatycznego,ZSI,25930000.0,13063720.0,38993720.0
Centrum Obsługi Informatycznej  (IT),Zadania dzielnic (bieżące),DBR,45500.0,,45500.0
Centrum Obsługi Informatycznej  (IT),Krakowskie Centrum Kontaktu,KCK,,371480.0,371480.0
Centrum Obsługi Informatycznej  (IT),Wdrożenie aplikacji mobilnej do obsługi usług i kart w UMK,MOB,,123827.0,123827.0
Centrum Obsługi Informatycznej  (IT),Wdrożenie Strategii Usług w UMK,WSU,,247653.0,247653.0
Centrum Obsługi Informatycznej  (IT),Obsługa Dzielnic,ODF,70000.0,61913.0,131913.0
Centrum Obsługi Informatycznej  (IT),Platforma do wirtualizacji danych,PWD,,123827.0,123827.0
Centrum Obsługi Informatycznej  (IT),Wdrożenie Systemu Gromadzenia i Przetwarzania Danych Miejskich,SGD,,247654.0,247654.0
Centrum Obsługi Informatycznej  (IT),Studium wykonalności LoRaWAN w Krakowie na podstawie pilotażu,LRW,,,
Centrum Obsługi Informatycznej  (IT),Zadania inwestycyjne,ZIN,,,
Centrum Obsługi Informatycznej  (IT),nan,,,,
Krakowskie Centrum Kontaktu (CK),Koordynacja i obsługa administracyjna,0,,619134.0,619134.0
Krakowskie Centrum Kontaktu (CK),Obsługa i realizacja zadań związanych z kontaktem z GMK,IZA,,2476534.0,2476534.0
Krakowskie Centrum Kontaktu (CK),nan,,,,
Kancelaria Prezydenta (KP),Koordynacja i obsługa administracyjna,0,,742960.0,742960.0
Kancelaria Prezydenta (KP),Współpraca zagraniczna,BWZ,312500.0,990614.0,1303114.0
Kancelaria Prezydenta (KP),Obsługa spotkań Prezydenta Miasta z mieszkańcami,SPM,,247653.0,247653.0
Kancelaria Prezydenta (KP),Kontakty publiczne,BWK,317100.0,1095867.0,1412967.0
Kancelaria Prezydenta (KP),Obsługa sekretarsko - asystencka i ochrona wartości niematerialnych i prawnych,ORG,50400.0,2228881.0,2279281.0
Kancelaria Prezydenta (KP),Kancelaria Tajna,KTU,,247653.0,247653.0
Kancelaria Prezydenta (KP),Zarządzanie Domem Krakowskim w Norymberdze,ZDK,500000.0,123827.0,623827.0
Kancelaria Prezydenta (KP),Przynależność Gminy Miejskiej Kraków do organizacji krajowych i międzynarodowych,SKZ,1320000.0,18574.0,1338574.0
Kancelaria Prezydenta (KP),nan,,,,0.0
Kancelaria Rady Miasta Krakowa (BR),Koordynacja i obsługa administracyjna,0,,650091.0,650091.0
Kancelaria Rady Miasta Krakowa (BR),Obsługa Rady Miasta Krakowa,ORM,2830000.0,3058520.0,5888520.0
Kancelaria Rady Miasta Krakowa (BR),Finansowanie Klubów Radnych,FKR,70000.0,6191.0,76191.0
Kancelaria Rady Miasta Krakowa (BR),nan,,,,0.0
