Dział ,Rozdział,Wyszczególnienie,Plan wydatków na 01.01.2024 r.,Rodzaj
600.0,60015.0,Drogi publiczne w miastach na prawach powiatu,13839748,Transport i łączność
600.0,60016.0,Drogi publiczne gminne,12842277,Transport i łączność
600.0,60017.0,Drogi wewnętrzne,997471,Transport i łączność
700.0,70005.0,Gospodarka gruntami i nieruchomościami,30000,Gospodarka mieszkaniowa
710.0,71035.0,Cmentarze,25000,Działalność usługowa
750.0,75022.0,Rady gmin (miast i miast na prawach powiatu),270561,Administracja publiczna
750.0,75095.0,Pozostała działalność,902174,Administracja publiczna
754.0,75405.0,Komendy powiatowe Policji,531500,Bezpieczeństwo publiczne i ochrona przeciwpożarowa
754.0,75411.0,Komendy powiatowe Państwowej Straży Pożarnej,659000,Bezpieczeństwo publiczne i ochrona przeciwpożarowa
754.0,75412.0,Ochotnicze straże pożarne,659000,Bezpieczeństwo publiczne i ochrona przeciwpożarowa
754.0,75416.0,Straż gminna (miejska),530500,Bezpieczeństwo publiczne i ochrona przeciwpożarowa
754.0,75495.0,Pozostała działalność,100000,Bezpieczeństwo publiczne i ochrona przeciwpożarowa
758.0,75818.0,Rezerwy ogólne i celowe,1387692,Różne rozliczenia
801.0,80195.0,Pozostała działalność,14770867,Oświata i wychowanie
851.0,85111.0,Szpitale ogólne,100000,Ochrona zdrowia 
851.0,85117.0,Zakłady opiekuńczo-lecznicze i pielęgnacyjno-opiekuńcze,25000,Ochrona zdrowia 
851.0,85149.0,Programy polityki zdrowotnej,78000,Ochrona zdrowia 
851.0,85195.0,Pozostała działalność,3000,Ochrona zdrowia 
852.0,85202.0,Domy pomocy społecznej,181800,Pomoc społeczna
852.0,85203.0,Ośrodki wsparcia,282092,Pomoc społeczna
852.0,85214.0,"Zasiłki okresowe, celowe i pomoc w naturze oraz składki na ubezpieczenia emerytalne i rentowe",218000,Pomoc społeczna
852.0,85295.0,Pozostała działalność,285696,Pomoc społeczna
853.0,85311.0,Rehabilitacja zawodowa i społeczna osób                       niepełnosprawnych,236216,Pozostałe zadania w zakresie polityki społecznej
853.0,85395.0,Pozostała działalność,2188902,Pozostałe zadania w zakresie polityki społecznej
854.0,85495.0,Pozostała działalność,1871108,Edukacyjna opieka wychowawcza
855.0,85510.0,Działalność placówek opiekuńczo-wychowawczych,5000,Rodzina
855.0,85516.0,System opieki nad dziećmi w wieku do lat 3,730000,Rodzina
900.0,90001.0,Gospodarka ściekowa i ochrona wód ,170000,Gospodarka komunalna i ochrona  środowiska                                                                 
900.0,90004.0,Utrzymanie zieleni w miastach i gminach,920000,Gospodarka komunalna i ochrona  środowiska                                                                 
900.0,90015.0,"Oświetlenie ulic, placów i dróg",2570052,Gospodarka komunalna i ochrona  środowiska                                                                 
900.0,90095.0,Pozostała działalność,5767734,Gospodarka komunalna i ochrona  środowiska                                                                 
921.0,92109.0,"Domy i ośrodki kultury, świetlice i kluby",3181608,Kultura i ochrona dziedzictwa narodowego
921.0,92113.0,Centra kultury i sztuki,3181608,Kultura i ochrona dziedzictwa narodowego
921.0,92116.0,Biblioteki,290100,Kultura i ochrona dziedzictwa narodowego
921.0,92118.0,Muzea,263000,Kultura i ochrona dziedzictwa narodowego
926.0,92601.0,Obiekty sportowe,1535100,Kultura fizyczna 
926.0,92605.0,Zadania w zakresie kultury fizycznej  ,276550,Kultura fizyczna 
