Nazwa,Ogółem,Gmina,Powiat
Rolnictwo i łowiectwo,62795,30000.0,32795.0
Transport i łączność,812872324,709836193.0,103036131.0
Gospodarka mieszkaniowa,331602051,307251051.0,24351000.0
Działalność usługowa,41227554,28693287.0,12534267.0
Administracja publiczna,43638835,23175560.0,20463275.0
Bezpieczeństwo publiczne i ochrona przeciwpożarowa,66396449,4134000.0,62262449.0
"Dochody od osób prawnych, od osób fizycznych i od innych jednostek nieposiadających osobowości prawnej oraz wydatki związane z ich poborem",2896196461,2478858474.0,417337987.0
Różne rozliczenia,1143887559,548028028.0,595859531.0
Oświata i wychowanie,120058470,101696970.0,18361500.0
Ochrona zdrowia,14012997,823000.0,13189997.0
Pomoc społeczna,104388898,52612539.0,51776359.0
Pozostałe zadania w zakresie polityki społecznej,7238522,3735522.0,3503000.0
Edukacyjna opieka wychowawcza,4232450,5000.0,4227450.0
Rodzina,460564903,457566164.0,2998739.0
Gospodarka komunalna i ochrona środowiska,265383976,264683976.0,700000.0
