Jednostka,Nazwa zadania,Akronim,Wydatki rzeczowe,Wydatki na utrzymanie stanowiska pracy,Wydatki na zadania ogółem
Biuro ds. Dzielnic Miasta Krakowa (BD),Koordynacja i obsługa administracyjna,0,,281385.0,281385.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Obsługa dzielnic organizacja,ODO,4040000.0,4080075.0,8120075.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Zadania dzielnic (bieżące),DBR,1036119.0,,1036119.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Zadania dzielnicowe bieżące wieloletnie,DBW,,,0.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Wybory do Rad Dzielnic Miasta Krakowa,WRD,60000.0,,60000.0
Biuro ds. Dzielnic Miasta Krakowa (BD),nan,,,,0.0
Biuro ds. Podatku VAT (BV),Koordynacja i obsługa administracyjna,0,,281385.0,281385.0
Biuro ds. Podatku VAT (BV),Centralizacja podatkowa GMK w zakresie podatku VAT,APD,500000.0,2251076.0,2751076.0
Biuro ds. Podatku VAT (BV),nan,,,,0.0
Biuro Miejskiego Konserwatora Zabytków (KZ),Koordynacja i obsługa administracyjna biura,0,,590908.0,590908.0
Biuro Miejskiego Konserwatora Zabytków (KZ),Zadania Miejskiego Konserwatora Zabytków,OZK,90000.0,3489168.0,3579168.0
Biuro Miejskiego Konserwatora Zabytków (KZ),nan,,,,0.0
Biuro Nadzoru Właścicielskiego (NW),Koordynacja i obsługa administracyjna,0,,386904.0,386904.0
Biuro Nadzoru Właścicielskiego (NW),Udział Gminy w spółkach handlowych i fundacjach,UGS,200000.0,1336577.0,1536577.0
Biuro Nadzoru Właścicielskiego (NW),Nadzór nad SPZOZ,NNS,,703461.0,703461.0
Biuro Nadzoru Właścicielskiego (NW),Organizacja III Igrzysk Europejskich 2023,OIE,,70346.0,70346.0
Biuro Nadzoru Właścicielskiego (NW),Zakup i obejmowanie akcji oraz wnoszenie wkładów do spółek prawa handlowego ,MAS,,,0.0
Biuro Nadzoru Właścicielskiego (NW),Zadania dzielnic (inwestycyjne),"DIR, DIW",,,0.0
Biuro Nadzoru Właścicielskiego (NW),Zadania inwestycyjne,ZIN,,,0.0
Biuro Nadzoru Właścicielskiego (NW),nan,,,,0.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Koordynacja i obsługa administracyjna,0,,422077.0,422077.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Przejmowanie mienia i nieruchomości,PMN,34500.0,844154.0,878654.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Rewindykacja nieruchomości,RED,70000.0,703461.0,773461.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Przejmowanie spadków na rzecz Gminy Kraków,SPA,715500.0,984846.0,1700346.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Zadania inwestycyjne,ZIN,,,
Biuro Przejmowania Mienia i Rewindykacji (MR),nan,,,,0.0
Centrum Obsługi Informatycznej  (IT),Koordynacja i obsługa administracyjna,0,,1688307.0,1688307.0
Centrum Obsługi Informatycznej  (IT),Obsługa zintegrowanego systemu teleinformatycznego,ZSI,31855000.0,16531341.0,48386341.0
Centrum Obsługi Informatycznej  (IT),Zadania dzielnic (bieżące),DBR,47500.0,,47500.0
Centrum Obsługi Informatycznej  (IT),Krakowskie Centrum Kontaktu,KCK,,281385.0,281385.0
Centrum Obsługi Informatycznej  (IT),Wdrożenie aplikacji mobilnej do obsługi usług i kart w UMK,MOB,,,0.0
Centrum Obsługi Informatycznej  (IT),Wdrożenie Strategii Usług w UMK,WSU,,281385.0,281385.0
Centrum Obsługi Informatycznej  (IT),Obsługa Dzielnic,ODF,170000.0,70346.0,240346.0
Centrum Obsługi Informatycznej  (IT),Platforma do wirtualizacji danych,PWD,,,0.0
Centrum Obsługi Informatycznej  (IT),Wdrożenie Systemu Gromadzenia i Przetwarzania Danych Miejskich,SGD,,140692.0,140692.0
Centrum Obsługi Informatycznej  (IT),Studium wykonalności LoRaWAN w Krakowie na podstawie pilotażu,LRW,,140692.0,140692.0
Centrum Obsługi Informatycznej  (IT),Zadania inwestycyjne,ZIN,,,0.0
Centrum Obsługi Informatycznej  (IT),nan,,,,
Krakowskie Centrum Kontaktu (CK),Koordynacja i obsługa administracyjna,0,,703461.0,703461.0
Krakowskie Centrum Kontaktu (CK),Obsługa i realizacja zadań związanych z kontaktem z GMK,IZA,80000.0,4361460.0,4441460.0
Krakowskie Centrum Kontaktu (CK),nan,,,,
Kancelaria Prezydenta (KP),Koordynacja i obsługa administracyjna,0,,844153.0,844153.0
Kancelaria Prezydenta (KP),Współpraca zagraniczna,BWZ,424300.0,1125538.0,1549838.0
Kancelaria Prezydenta (KP),Obsługa spotkań Prezydenta Miasta z mieszkańcami,SPM,,281385.0,281385.0
Kancelaria Prezydenta (KP),Kontakty publiczne,BWK,421700.0,1245127.0,1666827.0
Kancelaria Prezydenta (KP),Obsługa sekretarsko - asystencka i ochrona wartości niematerialnych i prawnych,ORG,,2532460.0,2532460.0
Kancelaria Prezydenta (KP),Kancelaria Tajna,KTU,,281385.0,281385.0
Kancelaria Prezydenta (KP),Zarządzanie Domem Krakowskim w Norymberdze,ZDK,693000.0,140692.0,833692.0
Kancelaria Prezydenta (KP),Przynależność Gminy Miejskiej Kraków do organizacji krajowych i międzynarodowych,SKZ,1410000.0,21104.0,1431104.0
Kancelaria Prezydenta (KP),nan,,,,0.0
Kancelaria Rady Miasta Krakowa (BR),Koordynacja i obsługa administracyjna,0,,738634.0,738634.0
Kancelaria Rady Miasta Krakowa (BR),Obsługa Rady Miasta Krakowa,ORM,3030000.0,3475099.0,6505099.0
Kancelaria Rady Miasta Krakowa (BR),Finansowanie Klubów Radnych,FKR,70000.0,7035.0,77035.0
